time,roll,pitch,yaw,qw,qx,qy,qz,linear_accel_x,linear_accel_y,linear_accel_z,jerk_x,jerk_y,jerk_z,ekf_jerk_x,ekf_jerk_y,ekf_jerk_z
[0:00:00],10.6148,0.584585,-1.28206e-05,0.995917,0.0924787,0.0050785,-0.00047169,0.0146583,0.0106879,0.0188621,0,0,0,0,0,0
[0:00:00.100000],10.0299,0.597261,-2.33233e-05,0.996284,0.0874039,0.00519146,-0.00045565,0.0179923,0.00254333,0.0120288,0,0,0,0,0,0
[0:00:00.200000],10.5817,0.807562,-5.25456e-05,0.995838,0.0921985,0.00701634,-0.00065006,0.0163524,0.00369637,0.0177715,0,0,0,0,0,0
[0:00:00.300000],10.8327,0.214864,-2.46162e-05,0.995657,0.0943811,0.00186642,-0.000177139,0.0188258,0.00468515,0.0145883,0,0,0,0,0,0
[0:00:00.400000],10.4396,0.223006,-5.62494e-05,0.995974,0.0909655,0.00193775,-0.000177474,0.0166485,0.000808895,0.0166799,0,0,0,0,0,0
[0:00:00.500000],10.8823,-0.769587,-3.17793e-05,0.995596,0.0948094,-0.00668482,0.000636309,0.0222131,0.00183767,0.014586,0.0149319,-0.00903019,-0.00429329,0.00291888,-0.00176522,-0.000839252
[0:00:00.600000],11.0011,-0.288235,-3.2779e-05,0.995516,0.0958435,-0.00250347,0.000240734,0.020421,0.00369278,0.0222917,0.0175106,-0.0082828,-0.01904,0.0055057,-0.00292066,-0.00406587
[0:00:00.700000],10.3197,-0.624747,-5.49483e-05,0.996057,0.0899223,-0.00542921,0.000489659,0.0248629,-0.00554612,0.00969923,0.00522359,-0.00664662,-0.0119372,0.00545922,-0.0035346,-0.00536286
[0:00:00.800000],10.3583,-1.10568,-2.76327e-05,0.995994,0.0902552,-0.00960818,0.000870433,0.0247098,-8.31187e-05,0.00866467,0.00668566,0.00633701,-0.0153133,0.00565049,-0.00199505,-0.0069147
[0:00:00.900000],10.0672,-1.2835,-6.98802e-05,0.996204,0.0877243,-0.0111559,0.000981762,0.0248418,0.000105023,0.0133822,0.00559835,0.00936045,-0.00685203,0.00564269,-0.000295946,-0.00690532
[0:00:01],10.5733,-1.45152,-5.66607e-05,0.99579,0.0921202,-0.0126112,0.00116616,0.0244126,0.00278288,0.00874591,0.0163572,0.00969667,0.00975865,0.0071966,0.00115326,-0.00448858
[0:00:01.100000],10.3052,-1.42706,-5.87552e-05,0.996005,0.0897911,-0.0124014,0.00111749,0.022642,-0.00104165,0.015457,0.0237634,-0.00280027,0.0180733,0.00954331,0.000593238,-0.00129266
[0:00:01.200000],10.8226,-1.86267,-6.6723e-05,0.995535,0.0942813,-0.0161798,0.00153171,0.033536,0.00635962,0.00957376,0.0162367,-0.0121254,0.00577566,0.0104747,-0.00117664,-0.000309058
[0:00:01.300000],10.7602,-2.2268,-7.21316e-05,0.99553,0.0937335,-0.0193434,0.00182063,0.0313353,-0.00180525,0.0163686,0.00956627,-0.0127178,-0.00953921,0.01035,-0.00276129,-0.00157639
[0:00:01.400000],10.4496,-2.45893,-4.86966e-05,0.995739,0.0910318,-0.0213649,0.00195278,0.0352218,-0.00371422,0.0173658,0.0135447,-0.00671947,-0.000207121,0.0107842,-0.0032993,-0.00139028
[0:00:01.500000],10.2028,-2.53391,-5.91016e-05,0.995919,0.0888858,-0.0220205,0.00196482,0.0327547,-0.00575593,0.00841117,0.00453563,-0.00117237,-0.0111229,0.00994135,-0.0030124,-0.00270311
[0:00:01.600000],10.588,-2.18806,-4.48558e-05,0.995676,0.0922381,-0.0190095,0.00176062,0.0259074,0.00217944,0.0112696,0.0166082,-0.0143656,0.0018628,0.0108355,-0.00453505,-0.00209075
[0:00:01.700000],10.6038,-2.18459,-4.12245e-05,0.995664,0.0923756,-0.0189792,0.00176049,0.0389074,-0.00456192,0.00887787,0.0302281,-0.0130989,0.0140185,0.0134251,-0.00567864,6.04329e-05
[0:00:01.800000],10.6679,-2.25193,-4.5325e-05,0.995601,0.0929317,-0.0195632,0.00182568,0.0433481,-0.00174683,0.0209697,0.0159942,-0.0348863,0.0171084,0.0137671,-0.0095662,0.00232952
[0:00:01.900000],10.641,-2.25199,-6.52039e-05,0.995623,0.0926981,-0.0195641,0.00182096,0.0376098,-0.00995287,0.00904197,0.0418456,-0.0224448,0.0140038,0.0174951,-0.0112761,0.00387956
[0:00:02],10.2282,-2.51062,-5.97014e-05,0.995904,0.0891071,-0.0218178,0.0019516,0.0522037,-0.0171207,0.0231805,0.0411277,0.00230059,0.000585913,0.0206271,-0.00947685,0.00344306
[0:00:02.100000],10.2939,-2.24303,-4.22141e-05,0.9959,0.0896829,-0.0194917,0.0017549,0.0432592,-0.00937267,0.0191055,0.0474012,0.0192622,0.00449983,0.0241704,-0.00567349,0.00358292
[0:00:02.200000],10.3342,-2.01908,-4.23815e-05,0.995905,0.0900362,-0.0175452,0.00158583,0.0488131,-0.0132637,0.0091399,0.0838347,0.00189505,0.00132493,0.0320581,-0.00467292,0.00328441
[0:00:02.300000],10.5179,-2.25078,-7.12917e-05,0.995722,0.0916288,-0.0195555,0.00179892,0.0786466,0.00460844,0.0180464,0.0869007,-0.00185623,-0.00582643,0.0393026,-0.00430085,0.0020809
[0:00:02.400000],10.739,-2.15941,-4.09702e-05,0.995559,0.0935509,-0.0187584,0.00176233,0.0650423,-0.00566268,0.0183307,0.0795009,-0.0293398,-0.00961677,0.0446094,-0.00760641,0.000536612
[0:00:02.500000],10.7658,-2.06806,-5.96296e-05,0.995551,0.0937843,-0.0179645,0.0016918,0.0857396,-0.0198644,0.0206792,0.0699582,-0.045284,-0.00480953,0.0479544,-0.0125782,-0.00016885
