time,roll,pitch,yaw,qw,qx,qy,qz,linear_accel_x,linear_accel_y,linear_accel_z
[0:04:19.700000],-34.8861,-10.0094,37.0264,-0.90965,0.256722,0.173699,-0.276955,-0.055646,0.402441,0.187517
[0:04:19.800000],-34.9101,-9.67271,37.4659,-0.908473,0.257213,0.172121,-0.281313,-0.0457665,0.407383,0.192973
[0:04:19.900000],-34.9331,-9.30646,38.0156,-0.906989,0.257631,0.170564,-0.286618,-0.052035,0.38701,0.187636
[0:04:20],-34.9707,-8.94487,38.4967,-0.905608,0.25827,0.168931,-0.291337,-0.0492828,0.399222,0.191459
[0:04:20.100000],-35.0088,-8.42594,39.0478,-0.903965,0.259291,0.166246,-0.297021,-0.0679177,0.380098,0.195842
[0:04:20.200000],-35.0773,-7.88287,39.5442,-0.902337,0.260728,0.16334,-0.302281,-0.046145,0.393741,0.191881
[0:04:20.300000],-35.0798,-7.55786,40.0347,-0.900908,0.261024,0.161946,-0.307,-0.042233,0.40575,0.18579
[0:04:20.400000],-35.084,-7.06497,40.4561,-0.899562,0.261952,0.159104,-0.311609,-0.0582974,0.397466,0.19635
[0:04:20.500000],-35.0961,-6.50132,40.9743,-0.897858,0.263044,0.155965,-0.317139,-0.0549985,0.387502,0.195641
[0:04:20.600000],-35.0318,-6.08223,41.4763,-0.896397,0.263145,0.153701,-0.322253,-0.05255,0.406825,0.181589
[0:04:20.700000],-35.0337,-5.62798,41.9021,-0.894944,0.263993,0.151179,-0.326759,-0.0299537,0.395047,0.178198
[0:04:20.800000],-35.1537,-5.16073,42.4891,-0.892708,0.265611,0.149278,-0.332391,-0.048141,0.385658,0.189573
[0:04:20.900000],-35.2425,-4.6909,43.0323,-0.890619,0.267072,0.147184,-0.337716,-0.0424736,0.399167,0.187324
[0:04:21],-35.327,-4.20625,43.5559,-0.888539,0.268592,0.144934,-0.34292,-0.0299511,0.409047,0.181595
[0:04:21.100000],-35.4095,-3.73787,44.1573,-0.886193,0.269968,0.143001,-0.348674,-0.0355288,0.384484,0.186664
[0:04:21.200000],-35.4304,-3.2727,44.684,-0.884172,0.270974,0.140745,-0.353904,-0.0227255,0.391906,0.186899
[0:04:21.300000],-35.3445,-2.81759,45.1554,-0.882542,0.271213,0.13811,-0.358794,-0.0325548,0.403686,0.182698
[0:04:21.400000],-35.335,-2.3675,45.6773,-0.880537,0.271984,0.135876,-0.363952,-0.0173222,0.409493,0.18866
[0:04:21.500000],-35.3023,-1.94322,46.2165,-0.878513,0.272495,0.133813,-0.369187,-0.00363573,0.400643,0.185173
[0:04:21.600000],-35.373,-1.44503,46.7914,-0.876015,0.274023,0.131615,-0.374742,-0.0291852,0.385441,0.177742
[0:04:21.700000],-35.4055,-0.984481,47.3084,-0.873785,0.275222,0.129456,-0.379788,-0.0194399,0.387772,0.189589
[0:04:21.800000],-35.4348,-0.616877,47.8422,-0.87156,0.276083,0.128044,-0.384721,-0.00667697,0.406184,0.180901
[0:04:21.900000],-35.3839,-0.287664,48.4084,-0.869423,0.276186,0.126739,-0.389879,0.00230356,0.400543,0.186331
[0:04:22],-35.3113,0.0311764,48.9619,-0.867358,0.27612,0.125409,-0.394924,0.00103241,0.40092,0.183208
[0:04:22.100000],-35.4049,0.531275,49.4773,-0.864783,0.277997,0.123198,-0.399918,-0.00714609,0.393012,0.17784
[0:04:22.200000],-35.517,0.923453,50.0468,-0.862054,0.279597,0.122017,-0.405025,0.00415371,0.384545,0.186796
[0:04:22.300000],-35.4774,1.29826,50.6489,-0.859557,0.279978,0.120523,-0.410477,0.00636061,0.40112,0.176916
[0:04:22.400000],-35.4155,1.88693,51.2526,-0.856798,0.280973,0.117351,-0.416444,0.00186031,0.40917,0.182381
[0:04:22.500000],-35.3163,2.35669,51.8755,-0.854155,0.281278,0.11499,-0.422283,-0.0091116,0.40209,0.181811
[0:04:22.600000],-35.3188,2.78301,52.3918,-0.851669,0.282317,0.113074,-0.427101,0.0188905,0.393632,0.186748
[0:04:22.700000],-35.3792,3.25601,53.0586,-0.848369,0.283828,0.11141,-0.433064,0.00754215,0.391309,0.187161
[0:04:22.800000],-35.3853,3.63933,53.641,-0.845598,0.284713,0.110018,-0.438227,0.0177602,0.383901,0.181265
[0:04:22.900000],-35.3847,4.21746,54.229,-0.842496,0.286282,0.107175,-0.443848,0.0024972,0.382942,0.17932
[0:04:23],-35.2265,4.77178,54.9315,-0.839318,0.286534,0.104194,-0.450369,0.0123252,0.405648,0.179506
[0:04:23.100000],-35.1974,5.25337,55.5608,-0.836159,0.28756,0.102084,-0.456038,0.0259474,0.39413,0.18598
[0:04:23.200000],-35.2018,5.82055,56.2681,-0.832413,0.289114,0.0996845,-0.462396,0.0198701,0.391505,0.184361
[0:04:23.300000],-35.1732,6.36217,56.8964,-0.829048,0.290432,0.0971598,-0.468117,0.0292698,0.410481,0.193929
[0:04:23.400000],-35.0022,6.87849,57.4427,-0.826371,0.290724,0.0940388,-0.473277,0.0207042,0.398546,0.183432
[0:04:23.500000],-34.9666,7.45669,58.1168,-0.822666,0.29216,0.0913545,-0.479335,0.0410316,0.404522,0.193448
[0:04:23.600000],-34.918,7.98056,58.8458,-0.818797,0.293282,0.0891701,-0.485645,0.0389225,0.385734,0.189334
[0:04:23.700000],-34.817,8.38653,59.6446,-0.814915,0.293545,0.0878161,-0.492217,0.0541146,0.398496,0.181534
[0:04:23.800000],-34.6777,8.81645,60.2946,-0.811673,0.293776,0.085746,-0.497769,0.0587262,0.388252,0.195491
[0:04:23.900000],-34.5556,9.32861,61.0756,-0.807612,0.294394,0.0834918,-0.504349,0.0424067,0.386635,0.186239
[0:04:24],-34.4949,9.77778,61.87,-0.803391,0.295216,0.0820107,-0.510813,0.0410431,0.400539,0.18098
[0:04:24.100000],-34.2752,10.1274,62.575,-0.800115,0.294613,0.0803142,-0.51654,0.0604814,0.396339,0.183686
[0:04:24.200000],-34.2009,10.6062,63.2566,-0.796271,0.295604,0.0782829,-0.522195,0.055883,0.384246,0.187874
[0:04:24.300000],-34.0877,10.9526,64.0053,-0.792436,0.295757,0.0772068,-0.528068,0.0716498,0.381638,0.19181
[0:04:24.400000],-34.0147,11.4644,64.653,-0.78858,0.296978,0.0748778,-0.533463,0.0552661,0.388542,0.189314
[0:04:24.500000],-33.8555,11.9095,65.413,-0.784511,0.297283,0.0729246,-0.539529,0.0666565,0.380217,0.194897
[0:04:24.600000],-33.6497,12.4363,66.1485,-0.780451,0.297676,0.0701095,-0.54554,0.0787573,0.370056,0.184853
[0:04:24.700000],-33.4108,12.8146,66.8494,-0.776909,0.297265,0.0681008,-0.551047,0.0621905,0.386069,0.184848
[0:04:24.800000],-33.2415,13.2198,67.6712,-0.772497,0.297405,0.0665485,-0.557328,0.0780525,0.377723,0.186671
[0:04:24.900000],-33.1386,13.6242,68.5218,-0.767716,0.298007,0.065406,-0.563711,0.0862002,0.370665,0.179457
[0:04:25],-33.0108,14.1464,69.2237,-0.763417,0.299083,0.0629379,-0.569235,0.0723424,0.37663,0.193658
[0:04:25.100000],-32.8388,14.5205,70.1047,-0.758621,0.29914,0.0617623,-0.575709,0.0927063,0.378741,0.191785
[0:04:25.200000],-32.7151,14.9877,70.8094,-0.754319,0.300066,0.0597267,-0.581068,0.0786797,0.357124,0.179034
[0:04:25.300000],-32.5097,15.3537,71.5536,-0.75022,0.300007,0.0580891,-0.586545,0.0946102,0.356848,0.184743
[0:04:25.400000],-32.384,15.7212,72.4392,-0.745135,0.300436,0.0572224,-0.59286,0.0985321,0.355302,0.190184
[0:04:25.500000],-32.0911,16.216,73.2401,-0.74057,0.300452,0.0543955,-0.598807,0.0790023,0.380824,0.189938
[0:04:25.600000],-31.8328,16.7519,74.0564,-0.735682,0.30093,0.0515079,-0.604818,0.0829676,0.376605,0.18746
[0:04:25.700000],-31.6877,17.1804,74.7577,-0.731313,0.301722,0.0496592,-0.609855,0.109895,0.348617,0.192619
[0:04:25.800000],-31.5443,17.5658,75.5173,-0.726692,0.302326,0.0482741,-0.615168,0.094709,0.366342,0.193809
[0:04:25.900000],-31.3055,18.0392,76.2937,-0.721972,0.302776,0.0458322,-0.620666,0.101415,0.35169,0.18181
[0:04:26],-31.082,18.412,77.2259,-0.716564,0.302818,0.0445673,-0.626974,0.109122,0.342035,0.17919
[0:04:26.100000],-30.89,18.9143,78.0091,-0.711511,0.303789,0.0422185,-0.632398,0.104305,0.366128,0.193694
[0:04:26.200000],-30.6861,19.2858,78.8133,-0.706657,0.304074,0.0407427,-0.637777,0.112141,0.340669,0.194589
[0:04:26.300000],-30.4506,19.6636,79.7219,-0.701241,0.304196,0.0393293,-0.643757,0.110179,0.338228,0.193961
[0:04:26.400000],-30.1913,20.0808,80.693,-0.695381,0.304393,0.0376911,-0.650088,0.109886,0.363456,0.195351
[0:04:26.500000],-30.0312,20.4686,81.584,-0.68973,0.305111,0.0366039,-0.655808,0.10946,0.341457,0.193868
[0:04:26.600000],-29.7377,20.9043,82.4187,-0.684586,0.30533,0.034298,-0.661199,0.13464,0.350367,0.183799
[0:04:26.700000],-29.5017,21.3185,83.1834,-0.679706,0.305848,0.0322823,-0.666077,0.112758,0.349525,0.181357
[0:04:26.800000],-29.2053,21.5802,84.0625,-0.674681,0.305219,0.0312067,-0.671504,0.130864,0.337368,0.193147
[0:04:26.900000],-28.9778,21.9671,84.8996,-0.669347,0.305701,0.0296164,-0.676675,0.127553,0.337444,0.182984
[0:04:27],-28.862,22.3026,85.6818,-0.664136,0.30661,0.0288784,-0.681414,0.137127,0.329429,0.187122
[0:04:27.100000],-28.6109,22.6813,86.5153,-0.658828,0.306982,0.0272071,-0.686449,0.143235,0.321427,0.18135
[0:04:27.200000],-28.4094,23.0152,87.3876,-0.653234,0.307427,0.0262277,-0.691615,0.149765,0.342463,0.182585
[0:04:27.300000],-28.1562,23.3187,88.2405,-0.647936,0.307449,0.0250796,-0.696613,0.149874,0.331611,0.18988
[0:04:27.400000],-27.8187,23.6758,89.2114,-0.641961,0.307304,0.0234001,-0.702245,0.136974,0.318533,0.187341
[0:04:27.500000],-27.566,24.0591,90.0192,-0.636644,0.307857,0.0216445,-0.706884,0.148462,0.341048,0.187925
[0:04:27.600000],-27.3366,24.5304,90.9561,-0.630192,0.309047,0.0198501,-0.712179,0.141982,0.314704,0.199498
[0:04:27.700000],-27.09,24.8978,91.7931,-0.624646,0.309624,0.0183303,-0.71684,0.148052,0.32288,0.197288
[0:04:27.800000],-26.7722,25.2347,92.611,-0.61946,0.309682,0.0165043,-0.721345,0.170895,0.315135,0.186246
[0:04:27.900000],-26.5232,25.5619,93.4784,-0.61377,0.310088,0.0153072,-0.726045,0.171965,0.319011,0.186735
[0:04:28],-26.246,25.9993,94.4418,-0.607211,0.311006,0.0135421,-0.731185,0.154546,0.323704,0.190885
[0:04:28.100000],-25.9854,26.2756,95.3352,-0.601449,0.311132,0.0126613,-0.735895,0.166506,0.300609,0.201799
[0:04:28.200000],-25.6442,26.4879,96.2112,-0.596156,0.310497,0.0115906,-0.740473,0.178248,0.319259,0.19223
[0:04:28.300000],-25.3578,26.8055,97.1184,-0.590193,0.310799,0.0103403,-0.745127,0.15476,0.302438,0.195358
[0:04:28.400000],-25.0643,27.1898,98.1446,-0.583256,0.311492,0.00898734,-0.7503,0.172394,0.319716,0.193054
[0:04:28.500000],-24.7988,27.5561,99.1525,-0.576368,0.312267,0.00788644,-0.755296,0.174592,0.300341,0.187087
[0:04:28.600000],-24.3544,27.7744,100.216,-0.569953,0.311296,0.00660287,-0.760559,0.193225,0.295373,0.19121
[0:04:28.700000],-23.9312,27.9666,101.222,-0.563887,0.310322,0.00543353,-0.765472,0.185815,0.302261,0.188262
[0:04:28.800000],-23.6109,28.1968,102.171,-0.557786,0.310128,0.00457441,-0.770012,0.182279,0.308887,0.183245
[0:04:28.900000],-23.2,28.377,103.156,-0.551782,0.309222,0.00347324,-0.774695,0.187369,0.291268,0.183508
[0:04:29],-22.7614,28.7248,104.183,-0.545089,0.309274,0.00137228,-0.779404,0.178418,0.299387,0.194904
[0:04:29.100000],-22.3668,29.0085,105.203,-0.538449,0.309191,-9.66692e-05,-0.78404,0.200394,0.271658,0.193211
[0:04:29.200000],-21.9644,29.3375,106.193,-0.531891,0.309409,-0.00194284,-0.788415,0.189476,0.269195,0.189521
[0:04:29.300000],-21.6207,29.4607,107.166,-0.525785,0.30863,-0.00234014,-0.792803,0.196721,0.282262,0.195764
[0:04:29.400000],-21.406,29.6397,108.088,-0.51951,0.308823,-0.00228147,-0.796855,0.183021,0.269508,0.194598
[0:04:29.500000],-21.131,29.9173,108.967,-0.513414,0.309406,-0.00326266,-0.800567,0.187898,0.268293,0.199724
[0:04:29.600000],-20.8659,30.2047,109.843,-0.50727,0.310129,-0.00422395,-0.804192,0.194681,0.270185,0.188977
[0:04:29.700000],-20.5901,30.4099,110.769,-0.500984,0.310298,-0.00469795,-0.808055,0.200275,0.282015,0.191454
[0:04:29.800000],-20.2616,30.585,111.751,-0.494491,0.310071,-0.00523834,-0.812128,0.214931,0.263295,0.19515
[0:04:29.900000],-19.9618,30.7028,112.75,-0.48791,0.309616,-0.00525093,-0.816271,0.220913,0.263528,0.193976
[0:04:30],-19.5895,31.0054,113.746,-0.481061,0.310121,-0.00669553,-0.820125,0.203473,0.2725,0.189692
[0:04:30.100000],-19.2302,31.234,114.746,-0.474298,0.310228,-0.0076684,-0.824006,0.199687,0.282498,0.200046
[0:04:30.200000],-18.9823,31.3145,115.69,-0.467969,0.309818,-0.0072848,-0.827774,0.227378,0.253679,0.195497
[0:04:30.300000],-18.6626,31.4637,116.71,-0.46109,0.309607,-0.00754443,-0.831702,0.220994,0.254104,0.195488
[0:04:30.400000],-18.2528,31.6713,117.674,-0.454696,0.309466,-0.00888566,-0.835253,0.210165,0.258403,0.194991
[0:04:30.500000],-17.7999,31.8448,118.732,-0.44778,0.308971,-0.0101315,-0.83915,0.23697,0.255853,0.188201
[0:04:30.600000],-17.3456,32.0366,119.829,-0.44051,0.30865,-0.0113741,-0.84309,0.212285,0.244448,0.191032
[0:04:30.700000],-16.8945,32.2079,120.769,-0.4344,0.308229,-0.012927,-0.846386,0.235752,0.259762,0.190222
[0:04:30.800000],-16.5348,32.3394,121.777,-0.427616,0.30792,-0.0134558,-0.849937,0.216391,0.244865,0.192432
[0:04:30.900000],-16.1023,32.3459,122.822,-0.420986,0.30649,-0.0138942,-0.853748,0.242671,0.236285,0.181239
[0:04:31],-15.5847,32.4626,123.961,-0.413608,0.305585,-0.0152093,-0.857648,0.222052,0.256115,0.18991
[0:04:31.100000],-15.2227,32.5528,124.922,-0.407179,0.305067,-0.0157391,-0.860893,0.223746,0.243429,0.193889
[0:04:31.200000],-14.8313,32.6112,125.826,-0.401288,0.304236,-0.0165173,-0.863933,0.250849,0.232845,0.176937
[0:04:31.300000],-14.5448,32.6032,126.767,-0.394958,0.303317,-0.0161547,-0.867174,0.241333,0.229827,0.180862
[0:04:31.400000],-14.0801,32.7252,127.892,-0.38741,0.302786,-0.0171855,-0.870737,0.226524,0.245204,0.186512
[0:04:31.500000],-13.5682,32.808,129.006,-0.380111,0.301855,-0.018463,-0.874244,0.246965,0.22643,0.177297
[0:04:31.600000],-13.1636,32.9046,129.948,-0.373794,0.301394,-0.0194434,-0.877101,0.240691,0.239856,0.175536
[0:04:31.700000],-12.6832,33.0802,131.047,-0.366292,0.301342,-0.0208889,-0.880245,0.232702,0.232567,0.175039
[0:04:31.800000],-12.286,33.2278,132.152,-0.358563,0.301393,-0.0215795,-0.883388,0.243159,0.230684,0.174121
[0:04:31.900000],-11.8626,33.194,133.065,-0.352686,0.300001,-0.0223306,-0.886204,0.265493,0.215185,0.181791
[0:04:32],-11.5129,33.3121,134.044,-0.345807,0.300019,-0.0228896,-0.888891,0.243719,0.215938,0.186991
[0:04:32.100000],-11.1311,33.469,135.096,-0.338358,0.300282,-0.0236376,-0.891645,0.24869,0.22575,0.187986
[0:04:32.200000],-10.6157,33.4745,136.179,-0.331256,0.299048,-0.0248401,-0.894689,0.267142,0.201892,0.181068
[0:04:32.300000],-10.1515,33.4802,137.29,-0.323765,0.298009,-0.0255934,-0.897751,0.266065,0.215498,0.181613
[0:04:32.400000],-9.76542,33.5089,138.303,-0.316775,0.297379,-0.0260823,-0.900435,0.253421,0.199539,0.174078
[0:04:32.500000],-9.32612,33.6456,139.337,-0.309565,0.297475,-0.0272801,-0.902872,0.25895,0.211941,0.17139
[0:04:32.600000],-8.95618,33.5541,140.267,-0.303316,0.296,-0.0275094,-0.905467,0.275564,0.186874,0.17998
[0:04:32.700000],-8.727,33.5217,141.151,-0.296962,0.295357,-0.0269448,-0.907797,0.277655,0.18729,0.167195
[0:04:32.800000],-8.4235,33.5048,142.041,-0.290704,0.294657,-0.0270099,-0.910046,0.285223,0.196313,0.168757
[0:04:32.900000],-7.98435,33.5116,143.108,-0.283334,0.293866,-0.0277799,-0.912599,0.263653,0.194495,0.168153
[0:04:33],-7.61739,33.3687,143.976,-0.277538,0.292056,-0.0280902,-0.914949,0.283973,0.180597,0.168998
[0:04:33.100000],-7.12935,33.2427,144.965,-0.271031,0.29014,-0.0291386,-0.917473,0.288665,0.199265,0.170182
[0:04:33.200000],-6.86581,33.1904,145.878,-0.264442,0.289341,-0.0288046,-0.919656,0.288512,0.185741,0.17465
[0:04:33.300000],-6.41194,33.2349,146.792,-0.258183,0.288896,-0.0302551,-0.921526,0.269692,0.187531,0.174672
[0:04:33.400000],-5.87636,33.2227,147.838,-0.251126,0.287892,-0.0319043,-0.923732,0.2935,0.185689,0.174452
[0:04:33.500000],-5.55147,33.1781,148.738,-0.244718,0.287085,-0.0321576,-0.925692,0.290774,0.183207,0.167086
